time,perc,set
684.6494118,97.27272727,9
706.3247059,99.09090909,9
728,94.65909091,9
749.6752941,97.04545455,9
771.3505882,100.1136364,9
793.4870588,100.1136364,9
815.6235294,97.95454545,9
836.8376471,100.1136364,9
858.5129412,87.95454545,9
880.1882353,87.72727273,9
902.3247059,87.95454545,9
924,81.59090909,9
183.3505882,9.886363636,10
205.0258824,21.13636364,10
227.1623529,24.09090909,10
248.8376471,42.61363636,10
270.5129412,50.56818182,10
292.1882353,61.47727273,10
314.3247059,64.43181818,10
336,78.52272727,10
357.6752941,85.22727273,10
379.3505882,89.77272727,10
401.4870588,95.34090909,10
423.1623529,88.18181818,10
444.8376471,92.27272727,10
488.6494118,96.36363636,10
510.7858824,86.81818182,10
532,82.61363636,10
554.1364706,97.61363636,10
575.8117647,97.27272727,10
597.4870588,97.84090909,10
619.6235294,95,10
641.2988235,99.31818182,10
662.9741176,94.09090909,10
684.1882353,95.90909091,10
705.8635294,98.52272727,10
728,100.1136364,10
749.6752941,100,10
771.8117647,100,10
793.0258824,100.1136364,10
814.7011765,95.90909091,10
836.8376471,99.20454545,10
858.9741176,97.84090909,10
880.6494118,95.79545455,10
901.8635294,94.20454545,10
924.4611765,94.43181818,10
182.8894118,11.59090909,11
205.4870588,32.84090909,11
227.1623529,29.20454545,11
248.8376471,37.38636364,11
270.5129412,52.84090909,11
293.5717647,64.88636364,11
314.3247059,73.40909091,11
336,73.63636364,11
357.6752941,91.25,11
379.8117647,92.95454545,11
401.4870588,93.18181818,11
423.1623529,98.52272727,11
445.2988235,97.38636364,11
488.1882353,96.25,11
511.2470588,86.70454545,11
532,87.95454545,11
554.1364706,100,11
575.8117647,89.09090909,11
597.4870588,97.5,11
619.6235294,95.45454545,11
641.2988235,98.97727273,11
662.9741176,97.04545455,11
684.1882353,98.06818182,11
924,93.29545455,11
902.3247059,96.47727273,11
880.1882353,96.47727273,11
858.9741176,95.90909091,11
836.8376471,98.97727273,11
815.1623529,100.1136364,11
793.4870588,100.1136364,11
771.3505882,100,11
749.6752941,100.1136364,11
727.5388235,100.1136364,11
706.3247059,98.97727273,11
205.0258824,14.77272727,12
227.1623529,22.84090909,12
248.8376471,42.5,12
270.5129412,51.59090909,12
292.1882353,66.59090909,12
314.3247059,72.27272727,12
336,85.90909091,12
357.6752941,94.31818182,12
379.8117647,93.75,12
401.4870588,95.45454545,12
423.1623529,93.86363636,12
445.2988235,92.27272727,12
488.6494118,95.34090909,12
510.7858824,85.56818182,12
532.4611765,85.11363636,12
554.1364706,99.09090909,12
575.8117647,95,12
597.4870588,89.31818182,12
619.6235294,96.70454545,12
641.2988235,97.95454545,12
662.9741176,98.40909091,12
684.6494118,95.34090909,12
705.8635294,96.36363636,12
728,100.1136364,12
749.6752941,96.36363636,12
771.3505882,97.15909091,12
793.4870588,100,12
815.1623529,98.75,12
836.8376471,96.93181818,12
858.5129412,96.70454545,12
880.1882353,97.27272727,12
902.3247059,94.77272727,12
924,93.29545455,12
